id,raw_estimate,units,estimate,choice,age,gender,cond_num
R_1TclCTd1VXqTcRj,10,Day(s),10,Option A,41,Male,18
R_2wRXU89RSZXZS4d,1,Month(s),30.41666667,Option B,29,Male,23
R_3MFf9TOnDqlqNYg,1,Month(s),30.41666667,Option B,36,Male,33
R_1LRxkYsdubquwXc,3,Month(s),91.25,Option A,37,Male,28
R_ZDBJVQSs42vKnrX,6,Month(s),182.5,Option B,30,Male,18
R_3QPCjFHofygxRzm,2,Weeks(s),14,Option B,26,Male,33
R_1NqX4eSFdiY72tF,1,Month(s),30.41666667,Option B,27,Female,28
R_A0CZTP7asxLTmwN,7,Day(s),7,Option B,37,Female,18
R_22Kbni1o06RMp0l,7,Day(s),7,Option A,30,Female,13
R_3ncMvYqfcUkfNAw,1,Day(s),1,Option B,28,Male,13
R_3L72778LVIY8bT9,20,Day(s),20,Option A,40,Male,23
R_3RmSCQrn5gAzjb6,1,Years(s),365,Option B,27,Male,28
R_2VImSW4y4hN7yPF,30,Day(s),30,Option B,28,Female,33
R_UAratBrHb1KZ3Ox,6,Month(s),182.5,Option B,38,Male,18
R_28IIEvyACFyBX7U,1,Weeks(s),7,Option A,32,Male,13
R_cwnkVRCLvYaW2fD,1,Weeks(s),7,Option B,40,Female,38
R_3j65Mr1qlElVrX3,6,Month(s),182.5,Option B,34,Male,38
R_22QUoCLGMD3M2l7,12,Weeks(s),84,Option A,52,Female,13
R_3EETGuft4iL9270,40,Day(s),40,Option B,25,Male,38
R_DIvER5KPJRbWroB,2,Month(s),60.83333333,Option B,36,Male,18
R_2awCjCSTrV3sW3k,4,Day(s),4,Option A,34,Female,13
R_VOVO3Q8GcxKZ1qV,3,Day(s),3,Option A,29,Male,13
R_3KK2hvVMo9ADByQ,20,Day(s),20,Option B,30,Male,38
R_1qXqQsXQI5L9ASE,2,Weeks(s),14,Option B,53,Male,23
R_2vcbqaotyXqcRVE,30,Day(s),30,Option B,55,Male,38
R_2YPq4ydiaamKD5b,2,Day(s),2,Option B,31,Male,13
R_1DvdKPkhGMNbXoS,3,Weeks(s),21,Option B,33,Male,33
R_siJucIY4rAr936V,30,Day(s),30,Option A,24,Male,28
R_2s71cTzyZIGJ3MM,2,Month(s),60.83333333,Option B,31,Male,33
R_1loFa5XvwD7LEHW,10,Day(s),10,Option B,21,Male,18
R_2wAKoH4ofjG3WMp,2,Weeks(s),14,Option A,31,Male,28
R_2WYmuEWKzm9NgGl,1,Years(s),365,Option B,39,Male,33
R_r8fbZLrcd8hSSVr,2,Month(s),60.83333333,Option A,24,Male,33
R_30p2igUWsr8ab5C,3,Month(s),91.25,Option B,30,Male,18
R_1DCoJj2puikCA5c,1,Month(s),30.41666667,Option A,37,Female,28
R_1ovBDAqCiWr6rNZ,1,Month(s),30.41666667,Option B,43,Male,38
R_u3bK1QO8OpqFBBv,1,Month(s),30.41666667,Option B,20,Female,13
R_3PCHH4Z2P4AWypr,1,Weeks(s),7,Option B,32,Male,18
R_2yqfYpA4anj1tMW,3,Month(s),91.25,Option B,43,Female,18
R_2PBZIBdRIzNlNuH,1,Years(s),365,Option B,40,Male,28
R_1ilqa9eKgnP0dX6,3,Month(s),91.25,Option B,27,Female,38
R_siGmdBCnG85yxQ5,30,Day(s),30,Option B,46,Female,33
R_33dJFP0zsM60zK2,3,Month(s),91.25,Option B,45,Male,33
R_6xvvDxeSPnW90Wt,3,Day(s),3,Option B,25,Female,23
R_3lt4K5h5FHM89I0,7,Day(s),7,Option A,34,Male,13
R_dcH5Njko1RrtqmZ,7,Day(s),7,Option B,30,Male,33
R_2qeKyWMFie7cacW,30,Day(s),30,Option A,44,Male,28
R_6fg3NGnD3yewSQh,2,Month(s),60.83333333,Option A,23,Male,38
R_265VT9BTS5QbgLj,2,Month(s),60.83333333,Option B,33,Female,38
R_DNyURLgRmmP4V8Z,30,Day(s),30,Option A,37,Male,23
R_23ZDWkr1AeXbgSd,6,Month(s),182.5,Option B,58,Male,23
R_2sareQjLl9fxv5K,3,Month(s),91.25,Option A,63,Female,23
R_2uW0k7V4Zkacdc2,4,Weeks(s),28,Option A,23,Male,18
R_24odb9lncWQCdWP,1,Month(s),30.41666667,Option B,24,Male,13
R_2rbOhtlCijumo6Z,2,Years(s),730,Option A,44,Male,23
R_2D8EgCNsZJiQOsr,1,Month(s),30.41666667,Option B,24,Male,28
R_1I4oEMuBlzU6Kmf,10,Day(s),10,Option B,27,Male,13
R_sjSDSKYFxaHhDpf,3,Month(s),91.25,Option B,29,Male,38
R_1GkXXlBjfvYNPcl,3,Day(s),3,Option A,26,Male,38
R_2alPCDotLUG2JXD,1,Month(s),30.41666667,Option A,42,Female,18
R_2bT8njW06NWxFkS,1,Years(s),365,Option B,59,Male,23
R_2Yrg64YCJPTOSFc,1,Years(s),365,Option A,37,Male,33
R_1IbdXbbMgRCuCEm,30,Day(s),30,Option A,40,Female,28
R_UsA7RoFXfdOkEaR,3,Weeks(s),21,Option B,30,Male,28
R_2ctj63ogqEVZMhw,6,Month(s),182.5,Option B,47,Female,28
R_2Eormp7qMlhAeGn,1,Month(s),30.41666667,Option B,35,Male,18
R_1ro95OLaFo9aFhT,2,Day(s),2,Option A,27,Male,23
R_1igFWqSfIgtKZb3,2,Weeks(s),14,Option B,65,Female,13
R_28J3Rq3v8NOHXbm,3,Month(s),91.25,Option B,23,Female,38
R_Z9y4FHD2OPuYJDr,1,Month(s),30.41666667,Option B,32,Male,18
R_1f27tpqYLQQTwV8,1,Years(s),365,Option B,24,Male,33
R_31vbCqZw4WyRxsu,2,Weeks(s),14,Option B,24,Male,23
R_2scC5igsZAclQz4,1,Month(s),30.41666667,Option B,27,Female,38
R_Rgz0YxENomWokuJ,30,Day(s),30,Option B,38,Female,23
R_QolDGWOKnVbTFFT,6,Month(s),182.5,Option B,40,Male,28
R_2dGaCy1LQeZ45Hv,1,Years(s),365,Option A,29,Male,33
R_xrt7efwjun0egil,2,Weeks(s),14,Option B,24,Female,23
R_2DS79HHj5rwd2X6,4,Weeks(s),28,Option B,34,Female,13
R_123gpipB9qhYJlM,1,Month(s),30.41666667,Option A,28,Male,13
R_WAv2J4JMm1WCupb,30,Day(s),30,Option B,24,Female,33
R_p45rdJyYanHuPhn,10,Day(s),10,Option B,36,Female,23
R_24pIEMpW2fa0KCb,5,Day(s),5,Option B,20,Female,33
R_1gOe44JiegerRjw,5,Years(s),1825,Option B,32,Male,23
R_1jlmHPzUiluDWAU,30,Day(s),30,Option B,35,Male,33
R_3P5iKZ1hddEjjMG,6,Day(s),6,Option B,23,Female,18
R_2f5F59hC0htVPQl,7,Day(s),7,Option B,31,Male,18
R_3MAkrkPqY6Zmt1k,7,Day(s),7,Option B,33,Female,23
R_247rJjE4uImaRVy,2,Weeks(s),14,Option B,32,Female,33
R_spR3zzDf57MR1Wp,7,Day(s),7,Option A,34,Male,13
R_2dzLHTpQZDCBfyT,3,Day(s),3,Option B,38,Female,38
R_ZKVu1VqDE5iXuYV,5,Day(s),5,Option B,53,Female,13
R_1l5DCGMx5VmbDtT,2,Weeks(s),14,Option A,30,Female,28
R_2Yb2OyGFoGw0xaw,7,Day(s),7,Option A,24,Male,13
R_rigcelRyiVUwZTX,1,Weeks(s),7,Option B,28,Male,23
R_21tvC5YAH6VIEpU,2,Years(s),730,Option B,35,Male,23
R_1gwgxdo1xnGqpMn,3,Month(s),91.25,Option B,48,Male,33
R_2fj94BdD8pUyGl4,1,Month(s),30.41666667,Option B,40,Female,23
R_3lyv8q6AFCKcIru,2,Month(s),60.83333333,Option B,33,Male,28
R_sNLSUg7XqLBL1Pb,3,Weeks(s),21,Option A,28,Female,33
R_2VjXr028m3dYvIZ,2,Day(s),2,Option B,31,Male,23
R_2awZAgYHp6JH0kF,1,Day(s),1,Option B,37,Female,18
R_OBdy0ZhieehEHFT,6,Month(s),182.5,Option A,37,Female,38
R_sNIG190Dj2pfVXr,6,Month(s),182.5,Option A,36,Female,28
R_3JmDdRDtH773EH1,5,Day(s),5,Option B,33,Male,38
R_efjRB83G3qG0s3n,2,Weeks(s),14,Option A,27,Female,13
R_3qkyvonHN7rR6kt,7,Day(s),7,Option B,31,Female,23
R_OyatkA06iXzyN9L,3,Month(s),91.25,Option A,53,Female,18
R_1QaygRUM0HQEC67,30,Day(s),30,Option B,28,Male,38
R_3paSsiFR8Yo7tWZ,10,Day(s),10,Option B,34,Female,18
R_s5VYxr0mcrCY3tL,1,Years(s),365,Option B,50,Male,23
R_WpJtxL5ZvqEws1P,1,Weeks(s),7,Option B,44,Male,28
R_3E9WACn6eQpmR5r,1,Month(s),30.41666667,Option B,59,Female,38
R_325E90AEfWRzqXU,6,Month(s),182.5,Option B,56,Male,18
R_28A4IXdFAr8Vp4s,15,Month(s),456.25,Option B,32,Male,18
R_skjJv9DmtuVmWFH,7,Day(s),7,Option B,40,Male,18
R_21FXbhXglwc9XdH,30,Day(s),30,Option A,48,Female,13
R_DIYMiKSBmtW19hD,30,Day(s),30,Option A,28,Female,13
R_cSFVDPZXvN7bqjD,2,Day(s),2,Option B,26,Female,33
R_3MoMo1x8hhkqdty,2,Years(s),730,Option B,33,Male,38
R_1qgrqo5bCi1zbZ9,1,Years(s),365,Option B,35,Male,18
R_BAg4JkffR79Ijct,1,Years(s),365,Option B,31,Male,23
R_28SQqvBY2m7pBv3,30,Day(s),30,Option B,37,Male,23
R_3fPGYNr9uoscw0S,4,Weeks(s),28,Option B,28,Male,28
R_33rkRJ8ICc9fXwg,7,Day(s),7,Option B,39,Female,28
R_3oZXlFEiA68ikA7,6,Month(s),182.5,Option A,40,Male,23
R_egKXgC803dzAgJb,1,Years(s),365,Option B,39,Male,18
R_1mLgM0CVBJ7gwZa,2,Day(s),2,Option B,27,Female,38
R_71z1vHshLZq2jAJ,30,Day(s),30,Option A,29,Male,38
R_2S2DgVIqk4oBJA3,40,Day(s),40,Option A,71,Female,13
R_cAeWTNLtEEIgSIx,1,Weeks(s),7,Option B,31,Male,33
R_3HiscHfHq7sDTot,6,Month(s),182.5,Option A,29,Female,28
R_33x1DZ4dN2Eu8ae,1,Month(s),30.41666667,Option A,56,Female,33
R_pfTYZ0MvE6wj1xT,3,Month(s),91.25,Option B,28,Male,28
R_1rOM3DjqHi0204h,1,Month(s),30.41666667,Option B,35,Female,33
R_3EA8fmdkwVpGGGy,1,Month(s),30.41666667,Option B,56,Female,18
R_vMr3iMAeqDy5ORH,2,Weeks(s),14,Option B,32,Male,23
R_BrdDcq658zgtFv3,1,Weeks(s),7,Option A,33,Male,23
R_2dgydyRDbDGITMQ,3,Weeks(s),21,Option B,30,Female,33
R_3QSIVRBTgRRas5R,1,Month(s),30.41666667,Option B,40,Female,28
R_2a9uZNEu9YEv6bs,30,Day(s),30,Option A,32,Female,38
R_3q8ztAPMKdttpyp,7,Day(s),7,Option B,36,Male,18
R_2wnILnl0DOHWjZU,6,Month(s),182.5,Option A,66,Female,18
R_1GvFSyXw08iJS7C,5,Years(s),1825,Option A,23,Male,18
R_2Cs2I0Cg4MuohqI,7,Day(s),7,Option B,29,Female,13
R_12QmgWqzvsYSgZD,4,Weeks(s),28,Option B,32,Male,23
R_1gG5ayLFTcaTs5P,1,Month(s),30.41666667,Option B,38,Male,33
R_3KoyIZKfGAtgH2S,7,Day(s),7,Option B,54,Female,13
R_ylovOBM8nVCkTK1,60,Day(s),60,Option B,42,Female,28
R_b4qx8PHmsMeg7IZ,3,Month(s),91.25,Option B,27,Male,28
R_2tKIV3NYn3sHK1m,3,Month(s),91.25,Option A,47,Male,33
R_1itExvVqi7Fcyqv,5,Day(s),5,Option A,27,Female,13
R_W20N7GcwK4gdTZD,1,Month(s),30.41666667,Option B,31,Female,38
R_1q33RnSZvAlvmgN,2,Weeks(s),14,Option A,25,Male,28
R_3dSuDTgpB3RHDaF,2,Weeks(s),14,Option A,26,Male,28
R_1CJBAq9Do1ze9Bu,2,Weeks(s),14,Option B,36,Female,18
R_W7H56cqQMJChbJn,10,Day(s),10,Option B,28,Male,13
R_1Hjh3BPWIMxFILa,3,Weeks(s),21,Option B,25,Male,38
R_28zzPAo5bZbbniI,7,Day(s),7,Option B,28,Male,33
R_3kFYCkcgzvl3EZk,6,Month(s),182.5,Option B,45,Female,33
R_2CTJz7garm58B12,60,Day(s),60,Option A,34,Female,28
R_BKvBFYRnimMNhPb,2,Day(s),2,Option B,27,Male,33
R_21yp3C4I899hxzD,2,Weeks(s),14,Option B,50,Female,23
R_1LIDBzw2OQ0k3Qq,1,Years(s),365,Option B,39,Male,38
R_2s0jYJH4ynuOxyA,a week,Weeks(s),7,Option A,31,Male,13
R_3KAtxOOItAMTvTD,3,Month(s),91.25,Option A,29,Male,33
R_rdxqhoMP3MqH3fH,6,Month(s),182.5,Option A,32,Male,38
R_vjnN8bblfQAKiY1,7,Day(s),7,Option B,44,Male,23
R_2uOmEp67mxscRYL,30,Day(s),30,Option A,35,Male,33
R_vjXNpfoIF4qkVA5,4,Weeks(s),28,Option B,40,Female,18
R_2WBTFbKuPgL2Dsy,10,Day(s),10,Option A,28,Male,23
R_1JJZS3vApBfHthX,1,Weeks(s),7,Option B,33,Male,18
R_2at3tR1WuzQ1kHs,1,Weeks(s),7,Option B,30,Female,23
R_bOv8fqN6hcb05IR,5,Day(s),5,Option B,32,Female,38
R_3O8mVMRPdVHhSsG,1,Years(s),365,Option B,36,Female,28
R_2PhRwJIQSWNyySg,10,Month(s),304.1666667,Option A,72,Male,28
R_2xCO5f5xJaH0jqJ,1,Day(s),1,Option A,28,Male,13
R_A68AAzkOKAwqGmR,4,Day(s),4,Option B,25,Female,38
R_2ykJsTsmD9gyV5G,1,Weeks(s),7,Option A,24,Male,13
R_24oVa3zan5bDDwy,2,Weeks(s),14,Option B,44,Female,38
R_1di5zUq6FpQHaiL,10,Day(s),10,Option B,36,Male,23
R_3r3edMulqEtZkw5,1,Weeks(s),7,Option B,24,Male,13
R_bQsFJdw6Tihg2WZ,8,Day(s),8,Option B,32,Male,23
R_3qr6v6Hn09f6KYO,7,Day(s),7,Option B,26,Male,38
R_31Es7aw7Erfffon,1,Month(s),30.41666667,Option B,37,Male,33
R_1ezv6wmFmvARBo2,4,Weeks(s),28,Option B,57,Female,18
R_2THMWmE596UvOb3,6,Month(s),182.5,Option B,31,Male,28
R_3R2x5TNWP1GRm4B,2,Weeks(s),14,Option B,35,Male,28
R_2q4zFDNB5NPxt5n,6,Month(s),182.5,Option A,35,Female,23
R_2dQpaMPeX7yVexb,2,Weeks(s),14,Option A,38,Male,18
R_u53lrYllzo5oC41,5,Month(s),152.0833333,Option B,30,Male,38
R_3mmjUK8MxgkPYSp,30,Day(s),30,Option B,38,Female,33
R_1gkBeaVnntcXRNu,1,Day(s),1,Option A,31,Male,13
R_3nw8qhEdyvIsuRX,30,Day(s),30,Option A,55,Male,28
R_3KBne3AkTxr3XsW,30,Day(s),30,Option A,41,Female,13
R_1dgCUkLPCQSGrZ1,2,Weeks(s),14,Option B,25,Female,33
R_2YlGyV3sM1ck0it,1,Weeks(s),7,Option B,27,Female,18
R_1Q9fyof0b0oo4Qf,20,Weeks(s),140,Option A,36,Female,38
R_2OIoaKzyzTkzHO4,7,Day(s),7,Option A,28,Male,13
R_2CV6xHxb5Qo97mK,2,Weeks(s),14,Option B,30,Male,13
R_bCqiUHdtWmakFuV,1,Day(s),1,Option B,49,Male,18
R_1ItqUFpu1UTMQUX,6,Month(s),182.5,Option B,36,Male,38
R_1H64QBYkLrhzT4Q,30,Day(s),30,Option B,36,Female,23
R_2QnhPhXhWYHYHrZ,2,Weeks(s),14,Option A,31,Female,18
R_8DrQNeZByHGRb2x,7,Day(s),7,Option B,26,Male,33
R_uqed25EKfQif6KZ,1,Month(s),30.41666667,Option B,57,Female,28
R_oXEWJaHykCXGczn,30,Day(s),30,Option B,27,Male,18
R_eFneoR111x01KJH,3,Weeks(s),21,Option B,23,Male,28
R_1rwryjrKqcmnHfU,30,Day(s),30,Option B,44,Male,28
R_11jaTPsE4rTXyp6,7,Day(s),7,Option B,29,Female,18
R_1kZGn060KMzl3OU,3,Month(s),91.25,Option B,53,Male,38
R_2dz23QkQnJGjzfY,3,Month(s),91.25,Option B,32,Male,28
R_1MXHcy6aBgtkxHr,1,Day(s),1,Option B,25,Female,23
R_2PsSIlVSZhXXiQt,30,Day(s),30,Option A,27,Male,33
R_22zYxvC8oKYNuZu,2,Month(s),60.83333333,Option B,40,Female,33
R_2BkunMCFO7r1FaB,1,Month(s),30.41666667,Option B,33,Male,38
R_28APAF45x3mWfDt,30,Day(s),30,Option B,21,Female,23
R_1P4Nmk9pUSSJgCA,7,Day(s),7,Option A,29,Female,13
R_2fq9bpH3g9eN5t2,5,Day(s),5,Option B,23,Male,28
R_2Y3OC5XO3ijsGVi,2,Month(s),60.83333333,Option B,29,Male,38
R_2SBvxkqywHcwBMv,15,Weeks(s),105,Option B,40,Male,28
R_1FsS2I8GHeX4XD7,1,Month(s),30.41666667,Option A,27,Female,28
R_12Ry0qWWX1lnzEK,1,Weeks(s),7,Option B,28,Female,18
R_3shC94RDjfu26Bz,7,Day(s),7,Option A,41,Female,13
R_2AMxQeOU6Hp6VRT,2,Weeks(s),14,Option B,29,Male,23
R_1HoOokEsSEstd7z,1,Month(s),30.41666667,Option B,25,Male,18
R_2tn70Fs2xIEE8o5,2,Years(s),730,Option B,34,Male,23
R_3CVCldxsD8PFHM9,2,Month(s),60.83333333,Option B,32,Female,38
R_WfHFowcrBhoVMGt,3,Month(s),91.25,Option B,35,Male,28
R_yL5qjRDkq1l7AdP,1,Month(s),30.41666667,Option B,33,Female,33
R_30pnTAEw8B4U3lb,1,Month(s),30.41666667,Option B,57,Female,33
R_2EnlQw6BOj633ex,14,Day(s),14,Option B,26,Male,23
R_1LnfGpnTxOwGxni,2,Weeks(s),14,Option B,68,Male,28
R_PTogZeuNdDnoWwF,1,Weeks(s),7,Option B,23,Male,18
R_3CINVz3blNtkNMA,2,Month(s),60.83333333,Option A,31,Male,13
R_3D09nqS0CBh2MtB,2,Weeks(s),14,Option A,20,Female,38
R_3gXfEJfHcDGraSU,7,Day(s),7,Option B,29,Male,33
R_10u42WrmDd9tW8Y,1,Years(s),365,Option B,54,Female,38
R_3qvPfGGk5AfQq7S,20,Day(s),20,Option B,26,Female,13
R_9WWfFnDU7rAVwxb,4,Weeks(s),28,Option B,23,Male,33
R_2f9vkzadX0GIbkT,14,Day(s),14,Option B,26,Male,28
R_3s78pRxg4Of2Mpb,6,Weeks(s),42,Option A,43,Female,18
R_1N92ggwcjIziD7h,1,Month(s),30.41666667,Option B,49,Female,23
R_3qaLeNo5wkMW4Cl,10,Day(s),10,Option B,25,Male,18
R_3jVrMrCziYLpKNz,120,Day(s),120,Option A,30,Male,13
R_3oTHdO5N5rIiseK,2,Weeks(s),14,Option B,42,Male,33
R_3EGMyIRrA28b2Zq,1,Weeks(s),7,Option A,23,Female,28
R_3EsCFK4WjwKX0kQ,7,Day(s),7,Option B,35,Male,23
R_1cRLx35HdbB9OPN,3,Month(s),91.25,Option B,19,Male,38
R_1dFBhh1Dy0qz4NQ,1,Weeks(s),7,Option B,38,Male,18
R_3IcpqoT0FlFyEuG,30,Day(s),30,Option B,34,Male,38
R_3ez9fPFiaWD4BCF,1,Month(s),30.41666667,Option B,41,Male,13
R_1DMhQs3MQwg1uCn,4,Month(s),121.6666667,Option B,38,Female,33
R_3s60iGyZEHDOERb,2,Weeks(s),14,Option B,38,Female,18
R_1GNATL9ELqE4Aun,1,Month(s),30.41666667,Option B,44,Male,38
R_3snQCYjHkkuhB9k,1,Weeks(s),7,Option B,28,Male,13
R_2wBO87949k0t4Ne,2,Month(s),60.83333333,Option B,62,Female,13
R_2CP1P8f8SprXNZ1,1,Month(s),30.41666667,Option A,42,Female,13
R_3MnDcjqo7xL59dp,2,Weeks(s),14,Option B,35,Male,28
R_2fwldohs40WqhTz,3,Month(s),91.25,Option B,52,Male,28
R_errD13QE8Rm77bj,2,Weeks(s),14,Option B,28,Female,23
R_3mahfNszxNzh608,1,Month(s),30.41666667,Option B,39,Male,28
R_12EWungcMkgi6jh,1,Month(s),30.41666667,Option B,51,Male,18
R_1eslGSxvTc5seB2,3,Month(s),91.25,Option B,31,Male,38
R_24FWkw6yS0g9k1L,6,Weeks(s),42,Option B,25,Female,33
R_1hWoj1YCoxJcEuA,30,Day(s),30,Option B,38,Female,28
R_cBgrN0XKnl3wzLz,3,Weeks(s),21,Option A,25,Male,23
R_3irrjqAsYAJqROO,7,Day(s),7,Option B,41,Male,33
R_1n8RfNlUCVVxtUO,1,Month(s),30.41666667,Option B,42,Female,28
R_u2jd8t988oTdrVv,7,Day(s),7,Option B,48,Female,18
R_bvc9bufaJ0s7VMl,5,Day(s),5,Option B,37,Male,13
R_yz7iaWXMFi7rkLn,2,Weeks(s),14,Option B,56,Female,23
R_1hR3Rd46HGEiW9A,1,Weeks(s),7,Option A,42,Female,13
R_3RlVYzNbtMrdUxU,2,Day(s),2,Option B,27,Male,33
R_3D0JHuQ3nJwbrH8,3,Weeks(s),21,Option B,55,Male,23
R_3pkXEbv7wp3DNVQ,2,Day(s),2,Option B,24,Male,38
R_yQHENFsI1THNfQ5,15,Years(s),5475,Option A,47,Male,38
R_bK09nmnyWLJl2U1,1,Month(s),30.41666667,Option B,49,Male,18
R_1o6ko0Ovg3GIMFw,3,Day(s),3,Option B,24,Male,23
R_31iTKUPJSFxyTXo,7,Day(s),7,Option B,34,Female,38
R_3g7VrerwBgIFeMP,7,Day(s),7,Option B,35,Male,28
R_sYlOIcvC3phzaHT,1,Month(s),30.41666667,Option A,29,Male,13
R_2qvNCoorqOCN1Wj,3,Weeks(s),21,Option A,31,Male,18
R_1dA1ouaxA2ohOkR,30,Day(s),30,Option B,31,Female,33
R_3nTvAayf5bbFxwP,6,Month(s),182.5,Option A,35,Female,38
R_29aIaxE0cSnuX9H,3,Month(s),91.25,Option A,33,Male,28
R_1Gv2TZHCr10ruVV,2,Day(s),2,Option B,27,Male,13
R_AoLtHtiiD1lnvvH,1,Month(s),30.41666667,Option A,26,Female,18
R_2Va2rqkxRULmg5A,3,Month(s),91.25,Option B,34,Male,23
R_vCtx6O3JmW0WvJf,1,Weeks(s),7,Option A,28,Female,13
R_1MTfdzzyp80iERW,2,Weeks(s),14,Option A,33,Male,38
R_2zdLveIk6H1svBq,7,Day(s),7,Option B,26,Female,33
R_bmie4VSE370Ta8x,2,Month(s),60.83333333,Option B,19,Male,38
R_2zVfydgtoBslm8E,10,Day(s),10,Option B,29,Female,18
R_2E7fOVWwBpnRx1W,2 days,Day(s),2,Option B,20,Male,28
R_beA3fxpgF5uMxsl,10,Years(s),3650,Option A,56,Male,23
R_YcBiA9v868qmGhH,5,Day(s),2,Option B,38,Female,18
R_3HYy7undcWqBUai,1,Month(s),30.41666667,Option B,31,Male,33
R_2c8wlcLZKN3AlCh,7,Day(s),7,Option B,36,Female,28
R_3BHwGBXUgIZJyNj,1,Weeks(s),7,Option A,27,Female,13
R_1kTEPd6jY3JIANo,1,Weeks(s),7,Option B,22,Male,38
R_2R4zJO3wrBkhrhM,1,Weeks(s),7,Option A,27,Female,18
R_3nBj7uwihLvMd15,1,Years(s),365,Option B,39,Male,23
R_54Hz2RygYcrtagh,7,Day(s),7,Option B,36,Male,13
R_2EB2B05WwAPioQL,7,Day(s),7,Option A,40,Female,18
R_31nnLWdV7N3undH,1,Month(s),30.41666667,Option B,38,Female,38
R_3qe5UJG7avS02Pz,2,Month(s),60.83333333,Option B,56,Male,33
R_1LZlWAnxLg9OjJn,2,Weeks(s),14,Option B,28,Male,28
R_3HRcK6PhoNt2iVq,30,Day(s),30,Option B,32,Female,23
R_e9BkI79ZectUAOB,13,Weeks(s),91,Option A,21,Male,13
R_pLU24a0RjYFv5sJ,1,Day(s),1,Option B,23,Male,33
R_1HbpYNAoi5UrFaz,0.6,Day(s),0.6,Option B,52,Male,23
R_bO8fM4kHUY9eEvv,20,Years(s),7300,Option A,47,Male,18
R_2tKb4ADcK0BLIbW,1,Weeks(s),7,Option B,33,Male,13
R_3GBWtpwo9gZ4QuG,5,Day(s),5,Option B,30,Male,23
R_1q2Gav9BRrluMrk,1,Month(s),30.41666667,Option B,46,Female,33
R_1dzugluTZVySm5l,2,Month(s),60.83333333,Option B,34,Male,23
R_4GYGKd2NvIfq2D7,5,Weeks(s),35,Option B,51,Female,13
R_3hrKLfuzKvBaTq8,2,Weeks(s),14,Option B,33,Male,18
R_2y48xN3ZolzWL3u,7,Day(s),7,Option B,30,Male,18
R_3oGxTqL1RplGxZY,2,Month(s),60.83333333,Option B,23,Male,38
R_26gRAlI253IwtZi,30,Day(s),30,Option B,56,Female,33
R_21AnrOYaGVnbIX7,1,Weeks(s),7,Option B,33,Male,33
R_9uZErUKaVBDtkwF,1,Day(s),1,Option B,36,Female,38
R_poC3QV6u7zL8gW5,2,Month(s),60.83333333,Option B,25,Male,38
R_3fw6mwdNPzf3aEz,1,Month(s),30.41666667,Option B,41,Male,23
R_1IGwJnLny3jXMjD,7,Day(s),7,Option B,31,Male,18
R_3G6DFOCulm0ajoB,2,Day(s),2,Option B,25,Female,23
R_3D29wYPgqlXwIMJ,2,Weeks(s),14,Option B,27,Female,28
R_1luerKqqAtPe0ee,18,Month(s),547.5,Option A,24,Male,28
R_32XF80LhDnia6Lx,28,Day(s),28,Option A,28,Female,28
R_PzloPA70Z7XuVm9,1,Day(s),1,Option B,27,Female,13
R_sLmAyNba8qLD3AB,1,Month(s),30.41666667,Option B,46,Female,13
R_3LZ9Ce8Qnw4N0zr,5,Day(s),5,Option B,21,Male,13
R_10BkAkN8tCj8iDS,2,Day(s),2,Option A,40,Female,18
R_3EWRCFCJlLjt46v,15,Day(s),15,Option B,24,Female,38
R_Wk5VNHI77NRJvsl,6,Month(s),182.5,Option A,49,Female,23
R_1HqyrfcLpYFk1lL,6,Month(s),182.5,Option B,51,Female,38
